序号,Phase,名称,详情锚点,前置任务,验证命令,状态,备注
14,P2:app 控制适配器,执行 Phase 2 回归验证,spec.md#task-14-执行-phase-2-回归验证,12;13,smoke 全绿;控制模式走查无 console error,已完成,浏览器实景 + export 落盘验证通过；phase-2 evidence 落盘
15,P3:去 AI 助手,docs 控制模式隐藏 AI 助手,spec.md#task-15-docs-控制模式隐藏-ai-助手,14,control=1 截图无 AI 元素;非 control 截图有,已完成,control/非 control 双态截图对比存档（EVD-002/EVD-006）
16,P3:去 AI 助手,markdown 控制模式隐藏 AI 助手,spec.md#task-16-markdown-控制模式隐藏-ai-助手,14,control=1 截图无 AI 元素;非 control 截图有,已完成,control/非 control 双态截图对比存档（EVD-002/EVD-006）
17,P3:去 AI 助手,执行 Phase 3 回归验证,spec.md#task-17-执行-phase-3-回归验证,15;16,smoke 全绿;双态截图存档,已完成,control/非 control 双态截图对比存档（EVD-002/EVD-006）
18,P4:DSH 插件工具与接线,实现 skill→defineTool 工具定义生成器,spec.md#task-18-实现-skilldefineTool-工具定义生成器,17,npm run build 通过;生成定义与契约表逐字段一致,已完成,DSH 会话实测全链路通过；smoke 工具名集合镜像三向一致；构建/类型检查全绿
19,P4:DSH 插件工具与接线,实现 host 工具执行（context/tool/save）,spec.md#task-19-实现-host-工具执行contexttoolsave,18,DSH 会话实测 read_blocks 返回真实内容;未打开报错,已完成,DSH 会话实测全链路通过；smoke 工具名集合镜像三向一致；构建/类型检查全绿
20,P4:DSH 插件工具与接线,client 接线（control URL+保存按钮+事件复用）,spec.md#task-20-client-接线control-url保存按钮事件复用,19,点击 md → iframe 带 control=1;保存按钮三态可用,已完成,DSH 会话实测全链路通过；smoke 工具名集合镜像三向一致；构建/类型检查全绿
21,P4:DSH 插件工具与接线,插件构建、类型检查与 vendor 同步,spec.md#task-21-插件构建类型检查与-vendor-同步,20,npm run build && npm run typecheck → 全绿;3099 可访问,已完成,DSH 会话实测全链路通过；smoke 工具名集合镜像三向一致；构建/类型检查全绿
22,P4:DSH 插件工具与接线,执行 Phase 4 回归验证,spec.md#task-22-执行-phase-4-回归验证,19;20;21,smoke 全绿;端到端走查无 console error,已完成,DSH 会话实测全链路通过；smoke 工具名集合镜像三向一致；构建/类型检查全绿
23,P5:端到端验收,执行 spec 5.2 真实场景全套测试,spec.md#task-23-执行-spec-52-真实场景全套测试,22,执行矩阵全行通过;validate_package.py → 0 FAIL,已完成,执行矩阵全行通过；证据按 5.2 落盘（UF-001/002/003/004 + API-control）
24,P5:端到端验收,执行 Phase 5 回归验证,spec.md#task-24-执行-phase-5-回归验证,23,smoke 全绿 + 5.4 检查清单 + 校验 0 FAIL,已完成,smoke 全绿 + 5.4 检查清单 + validate_package.py 0 FAIL
